Original File name/description,File name,,Used images (as of 2/26),Unused images (as of 2/26)
"0144-1810-1860s Ornate single pocket, heavy linen with silk embroidered exterior, f,.jpg",0144_image.jpg,,0219_image.jpg,0567_image.jpg
"0145-1810s -1860s On. Two styles of Men's Better Boots, Wellington and Hessian, drawn after Wilson- A History of Shoe Fashion'.jpg",0145_image.jpg,,0222_image.jpg,0568_image.jpg
"0146-1812 Men's day clothes, Regency m 3.jpg",0146_image.jpg,,0223_image.jpg,0572_image.jpg
0147-1812 Overcoats Regency m 5.jpg,0147_image.jpg,,0225_image.jpg,0573_image.jpg
0148-1813 men's sporting outfit 1813.jpg,0148_image.jpg,,0229_image.jpg,0576_image.jpg
"0149-1815 Authentic formal clothing, knee breeches, stockings and slippers only on man.jpg",0149_image.jpg,,0232_image.jpg,0578_image.jpg
0150-1815 greatcoat with 5 capes.jpg,0150_image.jpg,,0232_image.jpg,0579_image.jpg
0151-1815 hunting clothing and formal clothing (2).jpg,0151_image.jpg,,0233_image.jpg,0583_image.jpg
"0152-1815 men day-wear, long pants and slippers.jpg",0152_image.jpg,,0234_image.jpg,0587_image.jpg
"0153-1815 men parts of clothing, NOT formal - boots.jpg",0153_image.jpg,,0235_image.jpg,0588_image.jpg
"0154-1815 on. Skeleton suit, ABC coloring book p104d.jpg",0154_image.jpg,,0235_image.jpg,0592_image.jpg
"0155-1815, men, formal with knee britches.jpg",0155_image.jpg,,0236_image.jpg,0595_image.jpg
0156-1816 Mom and child. Public Domain.jpg,0156_image.jpg,,0237_image.jpg,0599_image.jpg
"0157-1820-50, shoemaker Jared Carter missionary, Grandin.jpg",0157_image.jpg,,0238_image.jpg,0601_image.jpg
0158-1820s-30s day dress.jpg,0158_image.jpg,,0239_image.jpg,0604_image.jpg
"0159-1820s-70s Fur tippet, medium length, Ladies' Self Instructor, R L Shep.jpg",0159_image.jpg,,0241_image.jpg,0609_image.jpg
"0160-1825-30, Victoria & Albert Museum.jpg",0160_image.jpg,,0242_image.jpg,0611_image.jpg
"0161-1828-9 Fashionable couple,.jpg",0161_image.jpg,,0243_image.jpg,0616_image.jpg
"0162-1830 +Dandy man in flowered cravatt, puffed hair.jpg",0162_image.jpg,,0244_image.jpg,0617_image.jpg
0163-1830 boy and girl from Austria. Hermitagemuseum.orgPublic Domain.jpg,0163_image.jpg,,0245_image.jpg,0618_image.jpg
